Z,T,H,B
90,0.0,-15,0.0021416076771406875
90,0.0,-12,0.0072154356495373224
90,0.0,-9,0.08031028789277578
90,0.0,-6,2.817105206653401
90,0.0,-3,107.08038385703435
90,0.0,0,827.8095232438593
90,0.0,3,2046.8532277108136
90,0.0,5,2771.6544949321733
90,22.5,-15,0.0021416076771406875
90,22.5,-12,0.0072154356495373224
90,22.5,-9,0.08031028789277578
90,22.5,-6,2.817105206653401
90,22.5,-3,107.08038385703435
90,22.5,0,827.8095232438593
90,22.5,3,2046.8532277108136
90,22.5,5,2771.6544949321733
90,45.0,-15,0.0021416076771406875
90,45.0,-12,0.0072154356495373224
90,45.0,-9,0.08031028789277578
90,45.0,-6,2.817105206653401
90,45.0,-3,107.08038385703435
90,45.0,0,827.8095232438593
90,45.0,3,2046.8532277108136
90,45.0,5,2771.6544949321733
90,90.0,-15,0.0021416076771406875
90,90.0,-12,0.0072154356495373224
90,90.0,-9,0.08031028789277578
90,90.0,-6,2.817105206653401
90,90.0,-3,107.08038385703435
90,90.0,0,827.8095232438593
90,90.0,3,2046.8532277108136
90,90.0,5,2771.6544949321733
90,135.0,-15,0.0021416076771406875
90,135.0,-12,0.0072154356495373224
90,135.0,-9,0.08031028789277578
90,135.0,-6,2.817105206653401
90,135.0,-3,107.08038385703435
90,135.0,0,827.8095232438593
90,135.0,3,2046.8532277108136
90,135.0,5,2771.6544949321733
90,180.0,-15,0.0021416076771406875
90,180.0,-12,0.0072154356495373224
90,180.0,-9,0.08031028789277578
90,180.0,-6,2.817105206653401
90,180.0,-3,107.08038385703435
90,180.0,0,827.8095232438593
90,180.0,3,2046.8532277108136
90,180.0,5,2771.6544949321733
80,0.0,-15,0.002447045105040419
80,0.0,-12,0.008186712979425833
80,0.0,-9,0.0922500174374523
80,0.0,-6,3.2826700707959606
80,0.0,-3,125.19453811660316
80,0.0,0,929.3519234887059
80,0.0,3,2418.230216291922
80,0.0,5,3272.3346545826275
80,22.5,-15,0.002423008633446131
80,22.5,-12,0.008061580885661111
80,22.5,-9,0.0889107220331711
80,22.5,-6,3.2201040239135996
80,22.5,-3,119.12499321013541
80,22.5,0,917.1875869711544
80,22.5,3,2260.1143233037546
80,22.5,5,3048.8647213324584
80,45.0,-15,0.0023609315966549582
80,45.0,-12,0.007714309555634842
80,45.0,-9,0.08623816687129018
80,45.0,-6,3.0065130133317224
80,45.0,-3,113.00895806917711
80,45.0,0,904.7151462159197
80,45.0,3,2147.73375610974
80,45.0,5,2828.5472037818263
80,90.0,-15,0.002308997676826608
80,90.0,-12,0.007210497146580478
80,90.0,-9,0.08339266353585129
80,90.0,-6,2.6999283890343664
80,90.0,-3,107.96133820601874
80,90.0,0,878.7437950615122
80,90.0,3,2051.4665640084677
80,90.0,5,2736.3248673976827
80,135.0,-15,0.0022011143744029276
80,135.0,-12,0.00666786845846337
80,135.0,-9,0.07972897267533502
80,135.0,-6,2.6999283890343664
80,135.0,-3,107.96133820601874
80,135.0,0,865.1843801461022
80,135.0,3,2144.151595292249
80,135.0,5,2873.2762603091087
80,180.0,-15,0.0021821882522977207
80,180.0,-12,0.006819925523345722
80,180.0,-9,0.08267459144028058
80,180.0,-6,2.6999283890343664
80,180.0,-3,107.96133820601874
80,180.0,0,904.7151462159197
80,180.0,3,2157.5370028417774
80,180.0,5,2923.0039593381
60,0.0,-15,0.0027475397829795248
60,0.0,-12,0.009972909503525518
60,0.0,-9,0.13065806266354044
60,0.0,-6,4.4056746845339205
60,0.0,-3,155.6954789966046
60,0.0,0,1228.0119207989023
60,0.0,3,3399.6678255755587
60,0.0,5,4805.153609113868
60,22.5,-15,0.0059226883325409355
60,22.5,-12,0.009714914232442928
60,22.5,-9,0.11972656033611104
60,22.5,-6,4.11717893279672
60,22.5,-3,144.97626511466217
60,22.5,0,1153.4235043873448
60,22.5,3,2909.3992318126275
60,22.5,5,4130.16989612529
60,45.0,-15,0.0026100537113298433
60,45.0,-12,0.008805736882372326
60,45.0,-9,0.11159661762568854
60,45.0,-6,3.416241602718709
60,45.0,-3,134.54411981088668
60,45.0,0,1064.6775610453242
60,45.0,3,2482.6664921381744
60,45.0,5,3303.538038718108
60,90.0,-15,0.0024027015540809917
60,90.0,-12,0.007277519478790693
60,90.0,-9,0.09530912590503623
60,90.0,-6,2.865474883138868
60,90.0,-3,119.39068638246707
60,90.0,0,931.7455088440013
60,90.0,3,2141.1671960527965
60,90.0,5,2716.6339207288456
60,135.0,-15,0.002187010036591364
60,135.0,-12,0.006626433895888408
60,135.0,-9,0.0875882744485327
60,135.0,-6,2.8132786287737916
60,135.0,-3,117.57189453962025
60,135.0,0,933.4113873757582
60,135.0,3,2371.0775723323154
60,135.0,5,3131.36115779612
60,180.0,-15,0.0022218218197489316
60,180.0,-12,0.006894471909899145
60,180.0,-9,0.08878893610046193
60,180.0,-6,2.7772965175219984
60,180.0,-3,121.42773054240106
60,180.0,0,1028.0021842614537
60,180.0,3,2447.5812405245338
60,180.0,5,3251.724447325896
40,0.0,-15,0.002908231275818713
40,0.0,-12,0.014321057565012289
40,0.0,-9,0.20917455536523105
40,0.0,-6,7.122414591161956
40,0.0,-3,218.67770216406785
40,0.0,0,1806.583329743974
40,0.0,3,5046.160841809974
40,0.0,5,7673.602892037057
40,22.5,-15,0.006390635499250576
40,22.5,-12,0.013213411928533519
40,22.5,-9,0.19632814383186487
40,22.5,-6,6.702733829729458
40,22.5,-3,201.4414261524454
40,22.5,0,1622.6795639411862
40,22.5,3,4355.503655425131
40,22.5,5,6327.85282841712
40,45.0,-15,0.0026744469243552213
40,45.0,-12,0.010478309906843505
40,45.0,-9,0.15437393436731917
40,45.0,-6,4.70044611137011
40,45.0,-3,172.69986847696111
40,45.0,0,1299.5595852916701
40,45.0,3,3305.1033527975223
40,45.0,5,4533.659350087347
40,90.0,-15,0.0024072126815217207
40,90.0,-12,0.007829961774134074
40,90.0,-9,0.107848360096123
40,90.0,-6,3.0204151099946124
40,90.0,-3,124.96129433293386
40,90.0,0,967.876335273753
40,90.0,3,2194.2810426942597
40,90.0,5,2657.756005245942
40,135.0,-15,0.0019697385350312445
40,135.0,-12,0.007172618158898516
40,135.0,-9,0.09665094961726112
40,135.0,-6,2.708475905211264
40,135.0,-3,116.93213123998746
40,135.0,0,1008.2957322872213
40,135.0,3,2596.928676202077
40,135.0,5,3473.737628846242
40,180.0,-15,0.0021028762856833416
40,180.0,-12,0.0072907715140154445
40,180.0,-9,0.09197007668254975
40,180.0,-6,2.6425674577385356
40,180.0,-3,130.15172028526862
40,180.0,0,1130.9542302957277
40,180.0,3,2794.5793554172064
40,180.0,5,3729.3243422800874
20,0.0,-15,0.003096671036555949
20,0.0,-12,0.023610412927158743
20,0.0,-9,0.4188415551438589
20,0.0,-6,12.132347362903083
20,0.0,-3,300.00939552510727
